Model,Survival_Time,Reaction_Time,Run_Dir,Error
go25-avoid75,42.14949870109558,0.15653010436869436,runs2\00146,False
go50-avoid50,84.70451068878174,0.1602381885927361,runs2\00147,False
go75-avoid25,15.414398908615112,0.14421340324933193,runs2\00148,False
go100-avoid0,11.268610000610352,0.15057057545734245,runs2\00149,False
go0-avoid100,74.04471564292908,0.16183438052110458,runs2\00150,False
go25-avoid75,8.249691724777222,0.14602901861130613,runs2\00151,False
go50-avoid50,17.50275707244873,0.15144502868640441,runs2\00152,False
go75-avoid25,13.539430379867554,0.1517109172523894,runs2\00153,False
go100-avoid0,83.87652516365051,0.15983778422543762,runs2\00154,False
go0-avoid100,144.78582239151,0.1632307109311533,runs2\00155,False
go25-avoid75,35.510563135147095,0.15684031917384483,runs2\00156,False
go50-avoid50,55.72009348869324,0.15889763997760908,runs2\00157,True
go75-avoid25,99.36478161811829,0.16271519748976895,runs2\00158,False
go100-avoid0,6.547245502471924,0.14474348937294523,runs2\00159,False
go0-avoid100,20.260395526885986,0.1588295671752375,runs2\00160,False
go25-avoid75,5.502779960632324,0.13940105803241365,runs2\00161,False
go50-avoid50,55.41071796417236,0.15891235735750828,runs2\00162,False
go75-avoid25,158.41735696792603,0.16026524235922526,runs2\00163,False
go100-avoid0,79.90622854232788,0.1607510645926379,runs2\00164,False
go0-avoid100,17.154754877090454,0.1510632288711785,runs2\00165,False
go25-avoid75,16.864986896514893,0.1579975751501349,runs2\00166,False
go50-avoid50,5.598697185516357,0.14576420512690816,runs2\00167,False
go75-avoid25,50.356261014938354,0.15789054923577223,runs2\00168,False
go100-avoid0,19.48943829536438,0.16241147379869914,runs2\00169,False
go0-avoid100,161.67024326324463,0.16274061973358894,runs2\00170,False
go25-avoid75,14.52614140510559,0.14347716327221774,runs2\00171,False
go50-avoid50,25.567156076431274,0.15721078325045326,runs2\00172,False
go75-avoid25,71.9277572631836,0.1579832000187428,runs2\00173,False
go100-avoid0,6.607842445373535,0.14727918890313016,runs2\00174,False
go0-avoid100,53.39212155342102,0.15998168784114677,runs2\00175,False
go25-avoid75,34.434449434280396,0.15696040796132196,runs2\00176,False
go50-avoid50,46.19256258010864,0.1581081172039896,runs2\00177,True
go75-avoid25,65.03184366226196,0.15948229413068415,runs2\00178,False
go100-avoid0,60.19027328491211,0.15904161315113252,runs2\00179,False
go0-avoid100,14.042204141616821,0.14602736334050617,runs2\00180,False
go25-avoid75,34.432937145233154,0.15681576188076793,runs2\00181,False
go50-avoid50,15.167619705200195,0.14675475000177654,runs2\00182,True
go75-avoid25,64.90334582328796,0.16249705384589105,runs2\00183,False
go100-avoid0,24.260581016540527,0.16133801570600026,runs2\00184,False
go0-avoid100,18.504072427749634,0.15065253407814627,runs2\00185,False
go25-avoid75,9.365984201431274,0.14233519568457217,runs2\00186,False
go50-avoid50,70.63994264602661,0.1612029958296035,runs2\00187,False
go75-avoid25,17.517757654190063,0.14413170439404369,runs2\00188,False
go100-avoid0,20.384382963180542,0.1571859254950594,runs2\00189,False
go0-avoid100,15.239577770233154,0.14368612977237463,runs2\00190,False
go25-avoid75,25.454987287521362,0.15039494343255685,runs2\00191,False
go50-avoid50,61.48987674713135,0.15778370050173324,runs2\00192,True
go75-avoid25,58.529688596725464,0.15773445897400978,runs2\00193,False
go100-avoid0,15.688255548477173,0.1537275174578766,runs2\00194,False
go0-avoid100,35.020546436309814,0.16119568367576845,runs2\00195,False
go25-avoid75,26.2919819355011,0.15405878968273573,runs2\00196,False
go50-avoid50,60.22444033622742,0.16131704276977724,runs2\00197,False
go75-avoid25,30.003422498703003,0.15854061976107403,runs2\00198,False
go100-avoid0,34.52511525154114,0.15541748629053556,runs2\00199,False
go0-avoid100,24.402727127075195,0.1493153378215561,runs2\00200,False
go25-avoid75,42.690553188323975,0.15908809061008153,runs2\00201,False
go50-avoid50,10.183857679367065,0.14451930498449408,runs2\00202,False
go75-avoid25,83.2368152141571,0.15824565676456964,runs2\00203,False
go100-avoid0,74.16685009002686,0.16102542055234922,runs2\00204,False
go0-avoid100,40.23302388191223,0.15756700557201106,runs2\00205,False
go25-avoid75,55.61896753311157,0.15789351335713622,runs2\00206,False
go50-avoid50,52.39638066291809,0.17587468381442642,runs2\00207,False
go75-avoid25,13.690374374389648,0.15131339405233662,runs2\00208,False
go100-avoid0,16.298620223999023,0.14590413149264886,runs2\00209,False
go0-avoid100,23.035205602645874,0.15543573893514287,runs2\00210,False
go25-avoid75,12.703807353973389,0.16274655811165153,runs2\00211,False
go50-avoid50,14.656404733657837,0.15134046948509366,runs2\00212,False
go75-avoid25,150.72941732406616,0.16374902884139944,runs2\00213,False
go100-avoid0,28.526416063308716,0.15685773250425364,runs2\00214,False
go0-avoid100,9.243852615356445,0.14150759727831452,runs2\00215,False
go25-avoid75,24.15504550933838,0.15836649613333717,runs2\00216,False
go50-avoid50,38.399144887924194,0.15464327083485857,runs2\00217,False
go75-avoid25,70.08300614356995,0.16944741522982132,runs2\00218,False
go100-avoid0,26.60478186607361,0.1588477558606491,runs2\00219,False
go0-avoid100,162.99426555633545,0.1622477613904727,runs2\00220,False
go25-avoid75,41.8663330078125,0.16230648803191355,runs2\00221,False
go50-avoid50,39.57788872718811,0.1618165198332781,runs2\00222,False
go75-avoid25,21.69595217704773,0.1624249118378839,runs2\00223,False
go100-avoid0,24.89911413192749,0.15431129160847107,runs2\00224,False
go0-avoid100,33.31943702697754,0.1642948107445471,runs2\00225,False
go25-avoid75,68.57097029685974,0.16194643474308162,runs2\00226,False
go50-avoid50,52.64900732040405,0.16720151521241675,runs2\00227,False
go75-avoid25,29.008214473724365,0.15572726077668395,runs2\00228,False
go100-avoid0,10.935850858688354,0.16023629220009958,runs2\00229,False
go0-avoid100,23.02668833732605,0.16099404394284933,runs2\00230,False
go25-avoid75,8.206501483917236,0.1442272898594678,runs2\00231,False
go50-avoid50,40.782845973968506,0.1611221063082893,runs2\00232,False
go75-avoid25,12.497324705123901,0.14678688002619747,runs2\00233,False
go100-avoid0,10.434782028198242,0.14538269798838171,runs2\00234,False
go0-avoid100,78.32742404937744,0.1631012215680105,runs2\00235,False
go25-avoid75,14.321893453598022,0.1654876684054907,runs2\00236,False
go50-avoid50,29.75914478302002,0.16005757777561605,runs2\00237,False
go75-avoid25,18.30254817008972,0.16411658747285882,runs2\00238,False
go100-avoid0,48.61384344100952,0.16759703336386142,runs2\00239,False
go0-avoid100,202.83725953102112,0.1697565613991729,runs2\00240,False
go25-avoid75,15.987672090530396,0.15944811065036926,runs2\00241,False
go50-avoid50,89.19056487083435,0.16392084409154262,runs2\00242,False
go75-avoid25,45.68056559562683,0.16597508319961427,runs2\00243,False
go100-avoid0,31.731929540634155,0.1612898507806093,runs2\00244,False
go0-avoid100,215.46639275550842,0.16914564721277103,runs2\00245,False
go25-avoid75,6.673816919326782,0.14384846647450944,runs2\00246,False
go50-avoid50,24.473231554031372,0.17133227032264567,runs2\00247,False
go75-avoid25,28.698325872421265,0.1615651827516401,runs2\00248,False
go100-avoid0,25.48126769065857,0.16820751779659432,runs2\00249,False
go0-avoid100,24.897864818572998,0.15573208745494224,runs2\00250,False
go25-avoid75,37.38575029373169,0.16381926931021432,runs2\00251,False
go50-avoid50,8.633567333221436,0.16034897133396078,runs2\00252,False
go75-avoid25,19.57718801498413,0.16506830807504203,runs2\00253,False
go100-avoid0,13.749434232711792,0.16415191521901462,runs2\00254,False
go0-avoid100,17.248899459838867,0.1593267784860741,runs2\00255,False
go25-avoid75,21.249420642852783,0.16281338508592794,runs2\00256,False
go50-avoid50,25.522469758987427,0.15811485453627386,runs2\00257,False
go75-avoid25,26.780803442001343,0.16418499391826247,runs2\00258,False
go100-avoid0,58.4938280582428,0.16637885237768418,runs2\00259,False
go0-avoid100,20.85773730278015,0.16710706232551223,runs2\00260,False
go25-avoid75,32.69989323616028,0.1687936993014621,runs2\00261,False
go50-avoid50,10.888050079345703,0.1552221913715578,runs2\00262,False
go75-avoid25,24.755210161209106,0.16147823487722487,runs2\00263,False
go100-avoid0,18.521161317825317,0.16573400322953016,runs2\00264,False
go0-avoid100,70.25387716293335,0.170268083754555,runs2\00265,False
go25-avoid75,28.910332202911377,0.17193422179966433,runs2\00266,False
go50-avoid50,20.770529985427856,0.16925011142275462,runs2\00267,False
go75-avoid25,19.26141667366028,0.17497521668398835,runs2\00268,False
go100-avoid0,28.890097618103027,0.16564986296543988,runs2\00269,False
go0-avoid100,96.1843364238739,0.16770732345745004,runs2\00270,False
go25-avoid75,21.404458045959473,0.16460669502004205,runs2\00271,False
go50-avoid50,29.49024224281311,0.16435468000584588,runs2\00272,False
