react_avg,react_std,cycle_avg,cycle_std,runtime_min,picdir,name
0.5099809434678819,0.0403909954576991,0.6169204115867615,0.0403909954576991,0.0822560548782348,runs4\00092,tflite-ensemble
0.1546835422515869,0.0187049199165427,0.2613235398342735,0.0187049199165427,0.0827524542808532,runs4\00093,random_bull
0.1514571331165455,0.0128760991376403,0.2637448952748225,0.0128760991376403,0.1142894546190897,runs4\00094,random-model
0.4936367140875922,0.0298370249763699,0.610340803861618,0.0298370249763699,0.0813787738482157,runs4\00095,tflite-ensemble
0.1560012221336364,0.0217885427373536,0.2669172914404618,0.0217885427373536,0.0845238089561462,runs4\00096,random_bull
0.1518009730747767,0.0047141089472515,0.2671648025512695,0.0047141089472515,0.0890549341837565,runs4\00097,random-model
0.528435366494315,0.0540841112154685,0.6438189506530761,0.0540841112154685,0.2146063168843587,runs4\00098,tflite-ensemble
0.1547758352188837,0.0164928114277458,0.2580525636672973,0.0164928114277458,0.0860175212224324,runs4\00099,random_bull
0.1562064170837402,0.0171460165354421,0.2593940433702971,0.0171460165354421,0.0821414470672607,runs4\00100,random-model
0.5119034184349908,0.0403633445939816,0.6146633625030518,0.0403633445939816,0.0819551150004069,runs4\00101,tflite-ensemble
0.1540513277053833,0.0139962851252574,0.2664874101939954,0.0139962851252574,0.0843876798947652,runs4\00102,random_bull
0.1574146389961242,0.0217571595274425,0.2617702735097785,0.0217571595274425,0.0828939199447631,runs4\00103,random-model
0.5102334136054629,0.0428968804207306,0.6237443089485168,0.0428968804207306,0.2079147696495056,runs4\00104,tflite-ensemble
0.1532377742585681,0.0196413388673317,0.2567375779151916,0.0196413388673317,0.0855791926383972,runs4\00105,random_bull
0.1562323331832885,0.019355869740965,0.2589029512907329,0.019355869740965,0.0819859345753987,runs4\00106,random-model
0.5262934896681044,0.0228811277648489,0.6300043761730194,0.0228811277648489,0.0840005834897359,runs4\00107,tflite-ensemble
0.1535952999478294,0.0095460110475263,0.2646060347557067,0.0095460110475263,0.0882020115852355,runs4\00108,random_bull
0.152383736201695,0.0131398521301871,0.2625055874095243,0.0131398521301871,0.1487531661987304,runs4\00109,random-model
0.5271395146846771,0.0448709680458819,0.6532071317945208,0.0448709680458819,0.0762074987093607,runs4\00110,tflite-ensemble
0.1549414992332458,0.0155319388117049,0.2665792766370271,0.0155319388117049,0.0844167709350585,runs4\00111,random_bull
0.1579229377564929,0.0230875305307155,0.2651899933815002,0.0230875305307155,0.0883966644605,runs4\00112,random-model
0.5323571099175347,0.0476236033682593,0.6381603181362152,0.0476236033682593,0.085088042418162,runs4\00113,tflite-ensemble
0.1531493582967984,0.0128992173678726,0.2674866339256023,0.0128992173678726,0.2585704127947489,runs4\00114,random_bull
0.1539095242818196,0.0122826916610941,0.266050922870636,0.0122826916610941,0.0886836409568786,runs4\00115,random-model
0.5335658192634583,0.0622925216000866,0.635979413986206,0.0622925216000866,0.0741975982983907,runs4\00116,tflite-ensemble
0.1535759568214416,0.014988723830431,0.2630806220205207,0.014988723830431,0.0833088636398315,runs4\00117,random_bull
0.1535354455312093,0.016338075661884,0.2648287653923035,0.016338075661884,0.0882762551307678,runs4\00118,random-model
0.504982074101766,0.0182449679930424,0.6185970902442932,0.0182449679930424,0.0824796120325724,runs4\00119,tflite-ensemble
0.1537130760109943,0.0153685296348001,0.2792789543068016,0.0153685296348001,0.4235730806986491,runs4\00120,random_bull
0.1559352988288516,0.0213547598975575,0.2617194414138794,0.0213547598975575,0.0872398138046264,runs4\00121,random-model
0.5256057679653168,0.0376664055029249,0.6313537529536656,0.0376664055029249,0.0736579378445943,runs4\00122,tflite-ensemble
0.1580953711555117,0.0213284345845506,0.2630833387374878,0.0213284345845506,0.0876944462458292,runs4\00123,random_bull
0.1490707283928281,0.0039361537728666,0.2576806306838989,0.0039361537728666,0.0858935435612996,runs4\00124,random-model
0.1299481227480132,0.0092567557977179,0.2031614354678562,0.0092567557977179,0.0948086698849996,runs4\00126,random_bull
0.1180976799556187,0.006133128484748,0.1529715149490921,0.006133128484748,0.0688371817270914,runs4\00127,random_bull
0.1163717678615025,0.0031639132436742,0.1539469736593741,0.0031639132436742,0.0692761381467183,runs4\00128,random_bull
0.115565436226981,0.0032647011982252,0.1526443163553873,0.0032647011982252,0.0686899423599243,runs4\00129,random_bull
0.1204145806176321,0.0081176829847954,0.1680906966880515,0.0081176829847954,0.0756408135096232,runs4\00130,random_bull
0.1220479692731584,0.0029513803391105,0.1736941337585449,0.0029513803391105,0.0781623601913452,runs4\00132,random_bull
0.1159402264489068,0.0031419777163962,0.1540288650072538,0.0031419777163962,0.0667458415031433,runs4\00133,random_bull
0.1200193454479349,0.0030171227062135,0.1645351988928658,0.0030171227062135,0.0767830928166707,runs4\00134,random_bull
0.1214560932583279,0.0075637557448719,0.1673404803642859,0.0075637557448719,0.0725142081578572,runs4\00135,random_bull
0.1215253484015371,0.0038308474977554,0.1753846502304077,0.0038308474977554,0.1461538751920064,runs4\00136,random_bull
0.1222000632967267,0.0078081992913583,0.1708667366592972,0.0078081992913583,0.0768900314966837,runs4\00137,random_bull
0.1222375461033412,0.0076583743704546,0.1720153314095956,0.0076583743704546,0.077406899134318,runs4\00138,random_bull
0.1216270242418561,0.0042584120291336,0.1713602366270842,0.0042584120291336,0.0771121064821879,runs4\00139,random_bull
0.1226734210704935,0.0045102655541103,0.1700655647686549,0.0045102655541103,0.0793639302253723,runs4\00140,random_bull
