loss,accuracy,precision,recall,f1_score,val_loss,val_accuracy,val_precision,val_recall,val_f1_score,regularization,dropout
0.935124397277832,0.5002108812332153,0.5006342530250549,0.499367356300354,[0.34421697 0.59775585],0.8911837935447693,0.4839797616004944,0.4839797616004944,0.4839797616004944,[0.         0.65227276],l2,0.5
0.8686016798019409,0.4909321069717407,0.4909321069717407,0.4909321069717407,[0.6082441  0.27332932],0.8446326851844788,0.5160202383995056,0.5160202383995056,0.5160202383995056,[0.6807564 0.       ],l2,0.5
0.8268382549285889,0.5099114179611206,0.5099114179611206,0.5099114179611206,[0.6750559  0.00343053],0.808531641960144,0.5160202383995056,0.5160202383995056,0.5160202383995056,[0.6807564 0.       ],l2,0.5
0.7957261800765991,0.5111767053604126,0.5111767053604126,0.5111767053604126,[0.6761665  0.00343938],0.7827894687652588,0.5160202383995056,0.5160202383995056,0.5160202383995056,[0.6807564 0.       ],l2,0.5
0.7737423181533813,0.5107549428939819,0.5107549428939819,0.5107549428939819,[0.6761586 0.       ],0.7645644545555115,0.5160202383995056,0.5160202383995056,0.5160202383995056,[0.6807564 0.       ],l2,0.5
0.7579073905944824,0.5107549428939819,0.5107549428939819,0.5107549428939819,[0.6761586 0.       ],0.7510835528373718,0.5160202383995056,0.5160202383995056,0.5160202383995056,[0.6807564 0.       ],l2,0.5
0.7446995973587036,0.5153943300247192,0.5153943300247192,0.5153943300247192,[0.675332   0.04488778],0.734538197517395,0.5733557939529419,0.5733557939529419,0.5733557939529419,[0.60282576 0.53916204],l2,0.5
0.7059065699577332,0.589202880859375,0.589202880859375,0.589202880859375,[0.64888245 0.5050813 ],0.6873887777328491,0.7318718433380127,0.7318718433380127,0.7318718433380127,[0.73455757 0.72913116],l2,0.5
0.6327656507492065,0.6849430799484253,0.6849430799484253,0.6849430799484253,[0.71672356 0.6451307 ],0.6213712692260742,0.7436762452125549,0.7436762452125549,0.7436762452125549,[0.70428014 0.7738095 ],l2,0.5
0.5877699851989746,0.7262758612632751,0.7262758612632751,0.7262758612632751,[0.7512457 0.6957337],0.5900087356567383,0.7942664623260498,0.7942664623260498,0.7942664623260498,[0.7896552 0.7986799],l2,0.5
1.030564546585083,0.50316321849823,0.5042517185211182,0.5002108812332153,[0.57988596 0.4006132 ],0.9141187071800232,0.5059021711349487,0.5059021711349487,0.5059021711349487,[0.6718925 0.       ],l2,0.75
0.9113926291465759,0.4985238313674927,0.4985238313674927,0.4985238313674927,[0.6510126 0.1093633],0.8946164846420288,0.5160202383995056,0.5160202383995056,0.5160202383995056,[0.6807564 0.       ],l2,0.75
0.8874844312667847,0.5035849809646606,0.5035849809646606,0.5035849809646606,[0.66572    0.03603604],0.8735273480415344,0.5160202383995056,0.5160202383995056,0.5160202383995056,[0.6807564 0.       ],l2,0.75
0.8647934794425964,0.5052720308303833,0.5052720308303833,0.5052720308303833,[0.67059815 0.00677392],0.8523529767990112,0.5160202383995056,0.5160202383995056,0.5160202383995056,[0.6807564 0.       ],l2,0.75
0.8416028022766113,0.508224368095398,0.508224368095398,0.508224368095398,[0.6733894  0.00511945],0.8326162099838257,0.5160202383995056,0.5160202383995056,0.5160202383995056,[0.6807564 0.       ],l2,0.75
0.8224771618843079,0.508224368095398,0.508224368095398,0.508224368095398,[0.6733894  0.00511945],0.8146246075630188,0.5160202383995056,0.5160202383995056,0.5160202383995056,[0.6807564 0.       ],l2,0.75
0.8027742505073547,0.5090678930282593,0.5090678930282593,0.5090678930282593,[0.67118645 0.03161398],0.7925763726234436,0.5160202383995056,0.5160202383995056,0.5160202383995056,[0.6807564 0.       ],l2,0.75
0.779829204082489,0.4926191568374634,0.4926191568374634,0.4926191568374634,[0.6532142  0.05498822],0.769540548324585,0.5160202383995056,0.5160202383995056,0.5160202383995056,[0.6807564 0.       ],l2,0.75
0.7597352266311646,0.5027414560317993,0.5027414560317993,0.5027414560317993,[0.66091454 0.06798419],0.7493829727172852,0.5193929076194763,0.5193929076194763,0.5193929076194763,[0.6815643  0.02061855],l2,0.75
0.7349166870117188,0.5115984678268433,0.5115984678268433,0.5115984678268433,[0.6488781  0.19806094],0.7286142110824585,0.655986487865448,0.655986487865448,0.655986487865448,[0.7166667 0.5622317],l2,0.75
